Year,STN_Code,Monitoring_Location,State,Temp_Min_C,Temp_Max_C,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,NitrateN_NitriteN_Min,NitrateN_NitriteN_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,TDS_Min,TDS_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Temp_Mean,Temp_Exceeds_BIS,pH_Mean,pH_Exceeds_BIS,Conductivity_Mean,BOD_Mean,NitrateN_NitriteN_Mean,NitrateN_NitriteN_Exceeds_BIS,Fecal_Coliform_Mean,Total_Coliform_Mean,TDS_Mean,TDS_Exceeds_BIS,Fluoride_Mean,Fluoride_Exceeds_BIS,Arsenic_Mean,Arsenic_Exceeds_BIS
2024,26,"BORE WELL AT KANURU PANCHAYAT,",Andhra Pradesh,26.0,28.0,7.36,7.48,2384.0,2498.0,1.8,2.2,2.1,2.22,3.0,3.0,7.0,11.0,1390.0,1463.0,0.69,0.82,0.00049,0.00049,27.0,0,7.42,0,2441.0,2.0,2.16,0,3.0,9.0,1426.5,0,0.7549999999999999,0,0.00049,0
2024,1513,"VIJAYAWADA BORE WELL AT AUTONAGAR, VIJAYAWADA.( IN THE R/O OF MR",Andhra Pradesh,24.0,27.0,7.36,7.52,2074.0,2138.0,1.7,2.0,2.17,2.26,3.0,3.0,9.0,11.0,1220.0,1280.0,0.68,0.73,0.00049,0.00049,25.5,0,7.4399999999999995,0,2106.0,1.85,2.215,0,3.0,10.0,1250.0,0,0.7050000000000001,0,0.00049,0
2024,1514,"SATYANARAYANA PLOT NO:79 H.NO:74-1- 7/2C,AUTO NAGAR VIJAYAWADA) BORE WELL AT AUTONAGAR, VIJAYAWADA.",Andhra Pradesh,25.0,26.0,7.46,7.53,2148.0,2210.0,2.1,2.3,2.51,2.59,3.0,3.0,9.0,11.0,1260.0,1340.0,0.69,0.71,0.00049,0.00049,25.5,0,7.495,0,2179.0,2.2,2.55,0,3.0,10.0,1300.0,0,0.7,0,0.00049,0
2024,1516,"( IN THE R/O OF MR. VIJAY KUMAR) BOREWELL OF NAVLOK GARDENS,",Andhra Pradesh,28.0,30.0,7.76,7.9,1120.0,1260.0,1.0,1.9,1.37,5.95,1.8,4.0,10.0,12.0,664.0,736.0,0.69,0.75,0.00049,0.00049,29.0,0,7.83,0,1190.0,1.45,3.66,0,2.9,11.0,700.0,0,0.72,0,0.00049,0
2024,1517,"NELLORE TOWN BOREWELL NEAR TUNGBHADRA RIVER,",Andhra Pradesh,24.0,25.0,7.6,7.9,2365.0,4130.0,1.0,1.1,3.05,12.3,1.8,1.8,4.0,11.0,1365.0,2721.0,0.5,0.62,,,24.5,0,7.75,0,3247.5,1.05,7.675000000000001,0,1.8,7.5,2043.0,1,0.56,0,,0
2024,1518,"BOREWELL AT NANDYAL TOWN MAMIDALAPADU (V), KURNOOL (M)",Andhra Pradesh,24.0,25.0,7.2,7.7,5940.0,6445.0,1.0,1.0,4.97,8.3,2.0,3.0,10.0,17.0,3540.0,3800.0,0.6,1.08,,,24.5,0,7.45,0,6192.5,1.0,6.635,0,2.5,13.5,3670.0,1,0.8400000000000001,0,,0
2024,1519,BOREWELL AT NAGIRI TOWN,Andhra Pradesh,26.0,27.0,7.2,7.4,1832.0,1854.0,1.0,1.0,6.76,9.72,1.8,1.8,6.0,8.0,1021.0,1022.0,0.66,0.69,,,26.5,0,7.300000000000001,0,1843.0,1.0,8.24,0,1.8,7.0,1021.5,0,0.675,0,,0
2024,1520,BOREWELL NEAR SWARNAMUKHI RIVER,Andhra Pradesh,26.0,28.0,7.5,7.5,1053.0,1095.0,1.0,1.0,0.76,0.87,1.8,1.8,9.0,12.0,599.0,608.0,0.62,0.77,,,27.0,0,7.5,0,1074.0,1.0,0.815,0,1.8,10.5,603.5,0,0.6950000000000001,0,,0
2024,1521,"AT SRIKALAHASTI TOWN OPEN WELL NEAR RAMA TEMPLE, WARD",Andhra Pradesh,27.0,28.0,7.39,7.55,1396.0,1399.0,2.0,2.6,5.66,7.67,1.8,1.8,3.0,3.0,928.0,936.0,0.2,0.74,0.001,0.001,27.5,0,7.47,0,1397.5,2.3,6.665,0,1.8,3.0,932.0,0,0.47,0,0.001,0
2024,1522,"NO.2, MINDI, VISAKHAPATNAM OPEN WELL PEDDANUVVI, PONNADA (V),",Andhra Pradesh,26.0,32.0,6.97,7.33,1674.0,1704.0,2.0,2.4,6.16,7.85,1.8,1.8,3.0,39.0,1108.0,1156.0,0.2,0.99,0.001,0.001,29.0,0,7.15,0,1689.0,2.2,7.005,0,1.8,21.0,1132.0,0,0.595,0,0.001,0
