# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Faecal Coli,,,,,,,,
,,,,,,,,Conductivity,B.O.D.,,,,,Total Coli form,Nitrate-N + Nitrite-,,,,,
,,,"Temperature ⁰C ",,"pH ",,,,,,form,,,,,,,,,
Station,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(μmhos/cm),(mg/l),,,,,(MPN/100ml),,N (mg/l),,,,
,"Station Name ","State Name ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(MPN/100ml),,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max,,,,
"26 ","WELL AT VIJAYWADA ","ANDHRA PRADESH ","25.0 ","27.0 ","7.9 ","8.1 ","1410 ","1732 ","0.6 ","0.8 ","2 ","2 ","400 ","400 ","2.65 ",4.21,,,,
"1513 ","BOREWELL KRISHNA MURTHY, D.NO. 48-16-43","ANDHRA PRADESH ","26.0 ","29.0 ","8.0 ","8.2 ","1180 ","1729 ","0.8 ","0.8 ","2 ","2 ","400 ","400 ","0.00 ",1.53,,,,
,AUTONAGAR VIJJAYAWADA,,,,,,,,,,,,,,,,,,,
"1514 ",BOREWELL VIJAY KUMAR AUTONAGAR,"ANDHRA PRADESH ","26.0 ","28.0 ","7.8 ","8.2 ","1410 ","1604 ","0.8 ","1.0 ","2 ","2 ","400 ","400 ","1.28 ",4.35,,,,
,VIJAYAWADA,,,,,,,,,,,,,,,,,,,
"1516 ","BOREWELL OF NAVLOK GARDENS, NELLORE ","ANDHRA PRADESH ","27.0 ","27.0 ","8.3 ","8.3 ","1020 ","1074 ","0.8 ","0.9 ","2 ","2 ","400 ","400 ","0.99 ",1.12,,,,
"1517 ","BOREWELL NEAR TUNGBHADRA RIVER KURNOOL ","ANDHRA PRADESH ","21.0 ","23.0 ","7.6 ","7.9 ","2240 ","4700 ","0.7 ","1.0 ","2 ","2 ","2 ","2 ","2.12 ",4.40,,,,
"1518 ","BOREWELL AT NANDYAL (KUNDU) ","ANDHRA PRADESH ","23.0 ","24.0 ","7.7 ","7.8 ","4400 ","4420 ","0.8 ","1.0 ","2 ","2 ","2 ","2 ","3.00 ",4.00,,,,
"1519 ","BOREWELL AT NAGIRI ","ANDHRA PRADESH ","25.0 ","31.0 ","7.5 ","7.5 ","1763 ","1973 ","0.5 ","1.0 ","2 ","2 ","2 ","2 ","1.80 ",2.80,,,,
"1520 ",BOREWELL NEAR SWARNAMUKHI RIVER AT,"ANDHRA PRADESH ","26.0 ","29.0 ","7.6 ","7.7 ","735 ","1285 ","0.7 ","1.0 ","2 ","2 ","2 ","2 ","1.10 ",1.30,,,,
,SRIKALAHASTI,,,,,,,,,,,,,,,,,,,
"1521 ","OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 ,","ANDHRA PRADESH ","26.0 ","27.0 ","6.9 ","7.3 ","2787 ","3163 ","2.0 ","2.0 ","13 ","15 ","380 ","460 ","9.78 ",10.06,,,,
,"MINDI , VISAKHAPATNAM",,,,,,,,,,,,,,,,,,,
"1522 ","OPEN WELL PEDDANUVVI - VIZIANAGARAM ","ANDHRA PRADESH ","26.0 ","28.0 ","7.2 ","7.9 ","514 ","782 ","1.7 ","1.9 ","11 ","11 ","150 ","210 ","1.15 ",3.41,,,,
"1523 ","BOREWELL NEAR M/S ANDHRA SUGARS LTD. ,","ANDHRA PRADESH ","25.0 ","26.0 ","6.9 ","7.7 ","464 ","590 ","1.4 ","1.5 ","9 ","9 ","45 ","65 ","2.44 ",3.82,,,,
,KOVVUR,,,,,,,,,,,,,,,,,,,
"1524 ",OPEN WELL NEAR PARTAP NAGAR BRIDGE -,"ANDHRA PRADESH ","27.0 ","29.0 ","6.9 ","7.8 ","1403 ","1681 ","1.4 ","1.8 ","9 ","9 ","45 ","120 ","2.07 ",3.40,,,,
,KAKINADA,,,,,,,,,,,,,,,,,,,
"3087 ","BORE WELL NEAR VILLAGE SECRETARIAT,","ANDHRA PRADESH ","26.0 ","26.0 ","7.3 ","7.7 ","2110 ","2310 ","0.8 ","1.0 ","2 ","2 ","400 ","400 ","0.38 ",0.48,,,,
,PATHAPADU (V),,,,,,,,,,,,,,,,,,,
"3089 ","HAND PUMP AT TANAM VILL., VISHAKHAPATNAM ","ANDHRA PRADESH ","25.0 ","27.0 ","7.3 ","7.5 ","2223 ","2234 ","1.6 ","1.8 ","11 ","11 ","210 ","210 ","4.64 ",10.63,,,,
"3090 ","HAND PUMP AT PITTAVANIPALEM,","ANDHRA PRADESH ","22.0 ","26.0 ","7.0 ","7.3 ","2076 ","2267 ","1.5 ","1.5 ","9 ","11 ","45 ","45 ","10.89 ",13.72,,,,
,VISHAKHAPATNAM,,,,,,,,,,,,,,,,,,,
"3091 ","BORE WELL AT KAPULUPPADA DUMPSITE,","ANDHRA PRADESH ","26.0 ","29.0 ","7.2 ","7.3 ","2715 ","3609 ","1.4 ","1.6 ","7 ","7 ","460 ","460 ","10.77 ",23.37,,,,
,VISHAKHAPATNAM,,,,,,,,,,,,,,,,,,,
"3092 ","BORE WELL AT ARINAMA AKKIVALASA,","ANDHRA PRADESH ","27.0 ","28.0 ","7.7 ","7.8 ","862 ","1009 ","1.4 ","1.6 ","11 ","15 ","69 ","110 ","3.03 ",6.82,,,,
,SRIKAKULAM,,,,,,,,,,,,,,,,,,,
"3093 ","BORE WELL AT ALLADAPALEM VILLAGE,","ANDHRA PRADESH ","26.0 ","26.0 ","7.7 ","7.8 ","1645 ","1888 ","1.5 ","2.3 ","7 ","9 ","45 ","65 ","4.44 ",4.68,,,,
,PYDIBHIMAVARAM,,,,,,,,,,,,,,,,,,,
Note:- BOD Value < 1.0 mg/l is BDL ( Below Detection Limit),,,,,,,,,,,,,,,,,,,,
,Data received from SPCB’s & PCC’s,,,,,,,,,,,,,,,,,,,

,,TABLE - 2: WATER QUALITY OF GROUND WATER IN ASSAM - 2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Faecal Coli,,,,,,,,
,,,,,,,,Conductivity,B.O.D.,,,,Total Coli form,,Nitrate-N + Nitrite-,,,,,
,,,"Temperature ⁰C ",,"pH ",,,,,,form,,,,,,,,,
Station,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(μmhos/cm),(mg/l),,,,(MPN/100ml),,,N (mg/l),,,,
,"Station Name ","State Name ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(MPN/100ml),,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max,,,,
"1533 ","DIGBOI, TINSUKIA DISTT., ASSAM ","ASSAM ","22.0 ","22.0 ","6.2 ","6.3 ","212 ","450 ","1.2 ","1.4 ","2 ","2 ","2 ","2 ","0.70 ",1.80,,,,
"1534 ","GROUND WATER AT KARBI ANGLONG DISTT.,","ASSAM ","26.0 ","26.0 ","5.6 ","5.8 ","186 ","1134 ","0.8 ","1.1 ","2 ","150 ","2 ","200 ","0.30 ",0.90,,,,
,ASSAM,,,,,,,,,,,,,,,,,,,
"1535 ",GROUND WATER AT SIBSAGAR GOVT ME SCHOOL,"ASSAM ","23.0 ","29.0 ","6.1 ","6.6 ","189 ","277 ","0.6 ","1.5 ","2 ","2 ","2 ","2 ","1.00 ",2.50,,,,
,"WARD 6, RED CROSS ROAD , ASSAM",,,,,,,,,,,,,,,,,,,
"1536 ",GROUND WATER NEAR BPMS H.S. SCHOOL,"ASSAM ","24.0 ","28.0 ","6.4 ","6.5 ","176 ","200 ","0.6 ","1.2 ","2 ","2 ","2 ","2 ","0.50 ",1.70,,,,
,SONARI TOWN DIST CHARAIDEO,,,,,,,,,,,,,,,,,,,
"1537 ","GROUND WATER AT (JORHAT, ASSAM) ","ASSAM ","23.0 ","27.0 ","6.4 ","7.4 ","179 ","275 ","0.6 ","1.4 ","2 ","2 ","2 ","2 ","0.80 ",1.40,,,,
"1538 ","GROUND WATER AT SILCHAR, ASSAM ","ASSAM ","25.0 ","26.0 ","5.5 ","7.1 ","61 ","125 ","0.6 ","0.8 ","2 ","2 ","2 ","2 ","0.70 ",1.80,,,,
"1539 ","GROUND WATER AT BARPETA, ASSAM ","ASSAM ","27.0 ","28.0 ","7.3 ","7.8 ","272 ","309 ","0.8 ","1.1 ","2 ","2 ","2 ","300 ","0.40 ",1.90,,,,
"1540 ","GROUND WATER AT BONAIGAON, ASSAM ","ASSAM ","28.0 ","29.0 ","6.0 ","6.1 ","143 ","190 ","1.4 ","1.6 ","2 ","2 ","2 ","2 ","2.50 ",7.90,,,,
"1541 ","GROUND WATER AT NOONMATI GUWAHATI,","ASSAM ","26.0 ","28.0 ","6.9 ","7.1 ","344 ","464 ","1.0 ","2.3 ","2 ","2 ","2 ","2 ","2.10 ",2.30,,,,
,ASSAM,,,,,,,,,,,,,,,,,,,
"1542 ","GROUND WATER AT SIJUBARI MAZAR, NATBOMA","ASSAM ","26.0 ","28.0 ","6.4 ","7.0 ","457 ","783 ","2.4 ","2.6 ","2 ","3500 ","2 ","5300 ","1.70 ",2.20,,,,
,HATIGAON,,,,,,,,,,,,,,,,,,,
