# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,,,TABLE 1: WATER QUALITY DATA OF GROUND WATER UNDER NWMP IN ANDHRA PRADESH - 2020,,,,,,,,,,,,,,,,,,,,,,,,
Station,,"Name of Monitoring Location ",State,Temperature,,,"pH ",,Conductivity,"BOD (mg/L) ",,,Nitrate - N +,Faecal,,Total,,,Faecal,,Total,,Fluoride,,Arsenic,,,
Code,,,Name,⁰C,,,,,(μmhos/cm),,,,Nitrite – N,,Coliform,,Coliform,Streptococci,,,Dissolved,,(mg/L),,(mg/L),,,
,,,,,,,,,,,,,(mg/L),(MPN/100ml),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,,,,,,
,,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,,,
,"WELL AT ",,GRAM PANCHAYATANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
"26 ",,,,"24 ","25 ","7.7 ","7.8 ","1742 ","1894 ","BDL ","BDL ","0.54 ","0.63 ","3 ","3 ","24 ","28 ","BDL ","BDL ","1026 ","1210 ","0.72 ","1.2 ","BDL ",BDL,,,
,"OFFICE, KAANURU, VIJAYWADA",,"PRADESH ",,,,,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL KRISHNA MURTHY,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
1513,"D.NO. ","48-16-43 ",AUTONAGAR,"24 ","24 ","7.7 ","7.8 ","1920 ","1926 ","BDL ","1.2 ","0.57 ","0.82 ","3 ","3 ","75 ","75 ","BDL ","BDL ","1140 ","1190 ","0.26 ","0.92 ","BDL ",BDL,,,
,,,"PRADESH ",,,,,,,,,,,,,,,,,,,,,,,,,
,VIJJAYAWADA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL ",,VIJAY KUMARANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
"1514 ",,,,"24 ","25 ","7.6 ","7.8 ","1859 ","1924 ","1.2 ","1.4 ","0.53 ","0.9 ","3 ","3 ","39 ","64 ","BDL ","BDL ","1100 ","1220 ","0.34 ","1.04 ","BDL ",BDL,,,
,AUTONAGAR VIJAYAWADA,,"PRADESH ",,,,,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL ",,OF NAVLOKANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
"1516 ",,,,"27 ","27 ","8.2 ","8.2 ","984 ","984 ","BDL ","BDL ","1.74 ","1.74 ","3 ","3 ","23 ","23 ","BDL ","BDL ","600 ","600 ","1.16 ","1.16 ","- ",-,,,
,"GARDENS, NELLORE",,"PRADESH ",,,,,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL ",,NEARANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
"1517 ",,,,"22 ","28 ","6.8 ","7.5 ","4640 ","5860 ","BDL ","2.2 ","6.61 ","7.2 ","BDL ","BDL ","BDL ","BDL ","- ","- ","3248 ","3517 ","1.5 ","1.9 ","- ",-,,,
,TUNGBHADRA RIVER KURNOOL,,"PRADESH ",,,,,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL ",,AT NANDYALANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
"1518 ",,,,"20 ","27 ","6.1 ","7.2 ","4820 ","6546 ","BDL ","2.8 ","1.83 ","10.6 ","BDL ","BDL ","BDL ","BDL ","- ","- ","2896 ","4582 ","1 ","1.2 ","- ",-,,,
,(KUNDU),,"PRADESH ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,ANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
"1519 ","BOREWELL AT NAGIRI ",,,"26 ","30 ","6.2 ","6.9 ","1620 ","1756 ","1.2 ","1.8 ","2.9 ","4.32 ","BDL ","BDL ","BDL ","BDL ","- ","- ","973 ","1226 ","0.5 ","0.6 ","- ",-,,,
,,,"PRADESH ",,,,,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL ",,NEAR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ANDHRA,,,,,,,,,,,,,,,,,,,,,,,,,
