# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024,,,,,,,,,,,,,,,,,,,,,
,,,Temperature,,,,,Conductivity,,,,NitrateN +,Fecal Coliform,,Total Coliform,,,Total Dissolved,,Fluoride,,,
,,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,Arsenic (mg/L),
,,,"(°C) ",,,,,(μmho/cm),,,NitriteN(mg/L),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,,
"STN Code ","Monitoring Location ",State Name,,,,,,,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
"BIS IS 10500 : 2012 Drinking Water -Specification ",,,"- ",,,"6.5-8.5 ","- ",,"- ",,,"< 45 mg/L ","- ",,"- ",,,< 2000 mg/L,"< 1.5 mg/L ",,,< 0.05 mg/L,
,"BORE WELL AT KANURU PANCHAYAT,",,,,,,,,,,,,,,,,,,,,,,
"26 ",,"ANDHRA PRADESH ","26 ","28 ","7.36 ","7.48 ","2384 ","2498 ","1.8 ","2.2 ","2.1 ","2.22 ","3 ","3 ","7 ","11 ","1390 ","1463 ","0.69 ","0.82 ","0.00049 ",0.00049,
,"VIJAYAWADA ",,,,,,,,,,,,,,,,,,,,,,
,"BORE WELL AT AUTONAGAR,",,,,,,,,,,,,,,,,,,,,,,
,VIJAYAWADA.( IN THE R/O OF MR,,,,,,,,,,,,,,,,,,,,,,
1513,,"ANDHRA PRADESH ","24 ","27 ","7.36 ","7.52 ","2074 ","2138 ","1.7 ","2 ","2.17 ","2.26 ","3 ","3 ","9 ","11 ","1220 ","1280 ","0.68 ","0.73 ","0.00049 ",0.00049,
,SATYANARAYANA PLOT NO:79 H.NO:74-1-,,,,,,,,,,,,,,,,,,,,,,
,"7/2C,AUTO NAGAR VIJAYAWADA)",,,,,,,,,,,,,,,,,,,,,,
,"BORE WELL AT AUTONAGAR,",,,,,,,,,,,,,,,,,,,,,,
,VIJAYAWADA.,,,,,,,,,,,,,,,,,,,,,,
1514,,"ANDHRA PRADESH ","25 ","26 ","7.46 ","7.53 ","2148 ","2210 ","2.1 ","2.3 ","2.51 ","2.59 ","3 ","3 ","9 ","11 ","1260 ","1340 ","0.69 ","0.71 ","0.00049 ",0.00049,
,"( IN THE R/O OF MR. VIJAY KUMAR) ",,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL OF NAVLOK GARDENS,",,,,,,,,,,,,,,,,,,,,,,
"1516 ",,"ANDHRA PRADESH ","28 ","30 ","7.76 ","7.9 ","1120 ","1260 ","1 ","1.9 ","1.37 ","5.95 ","1.8 ","4 ","10 ","12 ","664 ","736 ","0.69 ","0.75 ","0.00049 ",0.00049,
,"NELLORE TOWN ",,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL NEAR TUNGBHADRA RIVER,",,,,,,,,,,,,,,,,,,,,,,
"1517 ",,"ANDHRA PRADESH ","24 ","25 ","7.6 ","7.9 ","2365 ","4130 ","1 ","1.1 ","3.05 ","12.3 ","1.8 ","1.8 ","4 ","11 ","1365 ","2721 ","0.5 ",0.62,,,
,"MAMIDALAPADU (V), KURNOOL (M) ",,,,,,,,,,,,,,,,,,,,,,
"1518 ","BOREWELL AT NANDYAL TOWN ","ANDHRA PRADESH ","24 ","25 ","7.2 ","7.7 ","5940 ","6445 ","1 ","1 ","4.97 ","8.3 ","2 ","3 ","10 ","17 ","3540 ","3800 ","0.6 ",1.08,,,
"1519 ","BOREWELL AT NAGIRI TOWN ","ANDHRA PRADESH ","26 ","27 ","7.2 ","7.4 ","1832 ","1854 ","1 ","1 ","6.76 ","9.72 ","1.8 ","1.8 ","6 ","8 ","1021 ","1022 ","0.66 ",0.69,,,
,BOREWELL NEAR SWARNAMUKHI RIVER,,,,,,,,,,,,,,,,,,,,,,
"1520 ",,"ANDHRA PRADESH ","26 ","28 ","7.5 ","7.5 ","1053 ","1095 ","1 ","1 ","0.76 ","0.87 ","1.8 ","1.8 ","9 ","12 ","599 ","608 ","0.62 ",0.77,,,
,"AT SRIKALAHASTI TOWN ",,,,,,,,,,,,,,,,,,,,,,
,"OPEN WELL NEAR RAMA TEMPLE, WARD",,,,,,,,,,,,,,,,,,,,,,
"1521 ",,"ANDHRA PRADESH ","27 ","28 ","7.39 ","7.55 ","1396 ","1399 ","2 ","2.6 ","5.66 ","7.67 ","1.8 ","1.8 ","3 ","3 ","928 ","936 ","0.2 ","0.74 ","0.001 ",0.001,
,"NO.2, MINDI, VISAKHAPATNAM ",,,,,,,,,,,,,,,,,,,,,,
,"OPEN WELL PEDDANUVVI, PONNADA (V),",,,,,,,,,,,,,,,,,,,,,,
"1522 ",,"ANDHRA PRADESH ","26 ","32 ","6.97 ","7.33 ","1674 ","1704 ","2 ","2.4 ","6.16 ","7.85 ","1.8 ","1.8 ","3 ","39 ","1108 ","1156 ","0.2 ","0.99 ","0.001 ",0.001,
,"ETCHERLA (M) ",,,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR M/S ANDHRA SUGARS,,,,,,,,,,,,,,,,,,,,,,
"1523 ",,"ANDHRA PRADESH ","26 ","28 ","7.36 ","7.41 ","352 ","796 ","1.4 ","3.6 ","0.8 ","1.79 ","1.8 ","1.8 ","3 ","3 ","244 ","528 ","0.31 ","0.82 ","0.001 ",0.001,
,"LTD., KOVVUR TOWN ",,,,,,,,,,,,,,,,,,,,,,
,OPEN WELL NEAR PARTAP NAGAR,,,,,,,,,,,,,,,,,,,,,,
